model,batch_size,num_epochs,gpu_type,run_number,total_training_time_sec,avg_time_per_epoch_sec,inference_latency_single_img_sec,inference_latency_batch_sec,throughput_img_per_sec,gpu_memory_allocated_MB,gpu_memory_peak_MB,validation_accuracy_pct,f1_score
EfficientNet-B0,16,5,Tesla T4,1,198.81,32.35,0.0106,0.0261,613.16,80.37,240.62,95.0,95.01
EfficientNet-B0,16,5,Tesla T4,2,170.19,27.25,0.0087,0.0257,622.57,88.92,249.17,94.91,94.87
EfficientNet-B0,16,5,Tesla T4,3,173.25,27.81,0.008,0.0243,657.93,89.22,249.47,94.46,94.45
EfficientNet-B0,16,10,Tesla T4,1,359.71,28.67,0.0082,0.0246,650.48,89.62,249.87,95.36,95.38
EfficientNet-B0,16,10,Tesla T4,2,363.78,28.73,0.0112,0.0244,655.91,89.03,249.28,96.43,96.46
EfficientNet-B0,16,10,Tesla T4,3,358.66,28.7,0.0081,0.024,667.18,89.62,249.87,95.36,95.37
EfficientNet-B0,16,20,Tesla T4,1,704.27,28.11,0.0084,0.0249,641.45,89.03,249.28,97.23,97.24
EfficientNet-B0,16,20,Tesla T4,2,715.93,28.67,0.0083,0.0243,659.05,89.62,249.87,97.05,97.06
EfficientNet-B0,16,20,Tesla T4,3,756.62,30.23,0.0113,0.0232,690.68,89.03,249.28,96.61,96.61
EfficientNet-B0,32,5,Tesla T4,1,178.84,28.69,0.0085,0.045,710.38,98.36,419.86,94.91,94.92
EfficientNet-B0,32,5,Tesla T4,2,186.54,29.49,0.0092,0.0462,692.54,107.29,427.79,95.8,95.81
EfficientNet-B0,32,5,Tesla T4,3,183.46,29.02,0.0084,0.0462,692.79,107.54,429.04,95.54,95.55
EfficientNet-B0,32,10,Tesla T4,1,359.41,28.61,0.0088,0.0448,714.68,107.29,427.79,96.25,96.24
EfficientNet-B0,32,10,Tesla T4,2,356.62,28.44,0.0099,0.0476,671.79,107.54,429.04,95.62,95.67
EfficientNet-B0,32,10,Tesla T4,3,356.82,28.43,0.0118,0.0469,682.61,107.29,427.79,96.96,96.98
EfficientNet-B0,32,20,Tesla T4,1,718.92,28.58,0.0083,0.0451,710.06,107.54,429.04,96.79,96.79
EfficientNet-B0,32,20,Tesla T4,2,719.96,28.57,0.0095,0.0428,747.49,107.29,427.79,96.88,96.88
EfficientNet-B0,32,20,Tesla T4,3,711.33,28.31,0.008,0.0444,720.03,107.54,429.04,96.7,96.7
EfficientNet-B0,64,5,Tesla T4,1,171.12,27.07,0.0119,0.0886,722.38,107.93,763.31,94.91,94.93
EfficientNet-B0,64,5,Tesla T4,2,171.42,27.06,0.0086,0.0751,852.03,125.67,781.04,94.64,94.67
EfficientNet-B0,64,5,Tesla T4,3,174.08,27.34,0.008,0.0738,867.35,126.45,781.83,94.55,94.58
EfficientNet-B0,64,10,Tesla T4,1,345.66,27.27,0.0088,0.0874,731.98,125.67,781.04,96.7,96.71
EfficientNet-B0,64,10,Tesla T4,2,347.05,27.37,0.0081,0.0864,741.09,125.79,781.17,96.34,96.33
EfficientNet-B0,64,10,Tesla T4,3,344.4,27.24,0.0083,0.0739,865.97,126.37,781.75,96.7,96.71
EfficientNet-B0,64,20,Tesla T4,1,690.92,27.32,0.0085,0.0751,852.34,125.45,780.83,96.96,96.97
EfficientNet-B0,64,20,Tesla T4,2,673.29,26.7,0.0078,0.073,876.28,72.74,728.12,96.88,96.87
EfficientNet-B0,64,20,Tesla T4,3,655.65,25.91,0.0078,0.0786,814.27,109.48,764.86,97.14,97.15
